date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:34	705/705	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Feb%202020%2015:33:33%20GMT	http://t.commonsupport.xyz/robots.txt		(from )
16:33:34	74426/74426	---M-Z	200	added ('OK')	text/html	etag:%22122ba-5c9aef60-6ef470;gz%22	http://t.commonsupport.xyz/bebio/	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/index.html	(from )
16:33:35	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-5b74450a-6efad0;gz%22	http://t.commonsupport.xyz/bebio/css/bootstrap.css	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/css/bootstrap.css	(from http://t.commonsupport.xyz/bebio/)
16:33:35	30101/30101	---M-Z	200	added ('OK')	text/css	etag:%227595-596cf4ee-6efa17;gz%22	http://t.commonsupport.xyz/bebio/plugins/revolution/css/settings.css	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/plugins/revolution/css/settings.css	(from http://t.commonsupport.xyz/bebio/)
16:33:35	146597/146597	---M-Z	200	added ('OK')	text/css	etag:%2223ca5-596bc378-6efa2c;gz%22	http://t.commonsupport.xyz/bebio/plugins/revolution/css/layers.css	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/plugins/revolution/css/layers.css	(from http://t.commonsupport.xyz/bebio/)
16:33:36	59576/59576	---M-Z	200	added ('OK')	text/css	etag:%22e8b8-596bc378-6efa29;gz%22	http://t.commonsupport.xyz/bebio/plugins/revolution/css/navigation.css	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/plugins/revolution/css/navigation.css	(from http://t.commonsupport.xyz/bebio/)
16:33:37	110916/110916	---M-Z	200	added ('OK')	text/css	etag:%221b144-5ca17b50-6efada;gz%22	http://t.commonsupport.xyz/bebio/css/style.css	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/css/style.css	(from http://t.commonsupport.xyz/bebio/)
16:33:37	14472/14472	---M-Z	200	added ('OK')	text/css	etag:%223888-5c9aef1a-6efad3;gz%22	http://t.commonsupport.xyz/bebio/css/responsive.css	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/css/responsive.css	(from http://t.commonsupport.xyz/bebio/)
16:33:37	1276/1276	---M--	200	added ('OK')	image/png	etag:%224fc-5c9011b0-6efaa7;;;%22	http://t.commonsupport.xyz/bebio/images/favicon.png	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/images/favicon.png	(from http://t.commonsupport.xyz/bebio/)
16:33:37	22229/22229	---M-Z	200	added ('OK')	text/html	etag:%2256d5-5c97d8e0-6efab4;gz%22	http://t.commonsupport.xyz/bebio/contact.html	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/contact.html	(from http://t.commonsupport.xyz/bebio/)
16:33:38	74426/74426	---M-Z	200	added ('OK')	text/html	etag:%22122ba-5c9aef60-6ef470;gz%22	http://t.commonsupport.xyz/bebio/index.html	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/index-2.html	(from http://t.commonsupport.xyz/bebio/)
16:33:38	5328/5328	---M--	200	added ('OK')	image/png	etag:%2214d0-5c87ee2c-6efa6c;;;%22	http://t.commonsupport.xyz/bebio/images/logo.png	C:/Users/karim/Desktop/bebio/bebio/t.commonsupport.xyz/bebio/images/logo.png	(from http://t.commonsupport.xyz/bebio/)
